Customer ID,Customer Name,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Colour,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code,Previous Purchase Count,Payment Method,Frequency of Purchases
CUST00001,Riya Kumar,56,Male,Lip Gloss,Makeup,10.58,Bengaluru,Free Size,Navy Blue,Spring,1.1,Yes,Store Pickup,No,No Promo,35,Debit Card,Rarely
CUST00002,Lakshmi Kumar,57,Female,Handbag,Accessories,91.68,Chennai,Free Size,Navy Blue,Autumn,2.1,Yes,Next-Day,Yes,NEWUSER,6,UPI,Monthly
CUST00003,Aditya Mehta,54,Male,Sweaters,Clothing,87.98,Surat,XS,Maroon,Autumn,3.3,No,Standard,No,No Promo,49,UPI,Weekly
CUST00004,Reyansh Pillai,70,Male,Moisturizer,Cosmetics,29.39,Madurai,Free Size,Brown,Autumn,1.8,Yes,Standard,No,No Promo,10,Cash on Delivery,Rarely
CUST00005,Suresh Singh,31,Male,Lip Gloss,Makeup,32.38,Mumbai,Free Size,Blue,Autumn,2.6,Yes,Store Pickup,No,No Promo,20,Debit Card,Rarely
CUST00006,Kavya Reddy,47,Male,Face Cream,Cosmetics,11.82,Bhopal,Free Size,Navy Blue,Winter,2.4,No,Express,No,No Promo,5,Credit Card,Weekly
CUST00007,Divya Bose,25,Female,Trousers,Clothing,43.86,Chandigarh,L,Multicolor,Autumn,4.9,No,Standard,No,No Promo,7,Wallet,Annually
CUST00008,Anjali Nair,64,Male,Sunscreen,Cosmetics,28.35,Indore,Free Size,Beige,Summer,3.0,Yes,Next-Day,No,No Promo,32,Cash on Delivery,Fortnightly
CUST00009,Ananya Murthy,25,Male,Earrings,Accessories,138.43,Chandigarh,Free Size,Silver,Spring,1.4,No,Next-Day,Yes,SAVE20,36,Credit Card,Weekly
CUST00010,Arjun Murthy,62,Female,Sarees,Clothing,24.63,Kochi,XL,Yellow,Autumn,3.1,No,Express,No,No Promo,48,Wallet,Rarely
CUST00011,Ramesh Menon,28,Female,Handbag,Accessories,135.75,Indore,Free Size,Purple,Summer,1.3,Yes,Store Pickup,Yes,SAVE20,0,Credit Card,Rarely
CUST00012,Arjun Verma,56,Male,Body Lotion,Cosmetics,7.97,Ahmedabad,Free Size,Silver,Summer,3.2,No,Store Pickup,No,No Promo,15,Net Banking,Quarterly
CUST00013,Divya Menon,28,Male,Flip Flops,Footwear,52.29,Mumbai,10,White,Spring,2.6,No,Standard,Yes,SAVE20,34,Net Banking,Fortnightly
CUST00014,Kavya Kumar,43,Male,Trousers,Clothing,48.23,Bhopal,XS,Blue,Spring,4.9,No,Express,Yes,NEWUSER,30,Debit Card,Quarterly
CUST00015,Aarav Pillai,19,Male,Face Cream,Cosmetics,55.89,Indore,Free Size,Navy Blue,Winter,1.6,Yes,Standard,No,No Promo,34,Credit Card,Rarely
CUST00016,Ravi Chopra,36,Male,Scarf,Accessories,138.55,Visakhapatnam,Free Size,Blue,Spring,4.4,Yes,Standard,No,No Promo,15,Net Banking,Weekly
CUST00017,Sunita Verma,52,Male,Skirts,Clothing,46.44,Patna,XL,Multicolor,Autumn,4.7,Yes,Next-Day,Yes,NEWUSER,8,Wallet,Rarely
CUST00018,Arjun Sharma,35,Female,Sunglasses,Accessories,96.2,Patna,Free Size,Black,Summer,3.0,Yes,Next-Day,No,No Promo,15,UPI,Monthly
CUST00019,Nisha Patel,26,Male,Earrings,Accessories,9.11,Bhopal,Free Size,White,Summer,2.1,No,Store Pickup,Yes,FEST15,38,Debit Card,Rarely
CUST00020,Priya Krishnan,37,Male,Belt,Accessories,43.66,Mumbai,Free Size,Navy Blue,Autumn,1.2,No,Express,No,No Promo,16,Debit Card,Rarely
CUST00021,Divya Murthy,44,Female,Dresses,Clothing,23.39,Hyderabad,XL,Blue,Autumn,3.3,Yes,Express,Yes,FEST15,50,Credit Card,Monthly
CUST00022,Reyansh Menon,29,Female,Formal Shoes,Footwear,107.44,Hyderabad,6,Yellow,Summer,4.5,Yes,Next-Day,No,No Promo,26,Wallet,Rarely
CUST00023,Ananya Nair,67,Male,Sneakers,Footwear,97.47,Kochi,6,Pink,Winter,2.4,No,Express,Yes,SEASON25,12,Net Banking,Monthly
CUST00024,Riya Menon,33,Female,Scarf,Accessories,64.75,Bhopal,Free Size,Red,Spring,4.5,Yes,Store Pickup,No,No Promo,16,Credit Card,Weekly
CUST00025,Neha Joshi,54,Male,Scarf,Accessories,24.42,Patna,Free Size,Beige,Spring,3.8,Yes,Store Pickup,No,No Promo,47,Wallet,Rarely
CUST00026,Arjun Das,28,Male,Perfume,Cosmetics,41.15,Bengaluru,Free Size,Multicolor,Autumn,3.7,No,Next-Day,No,No Promo,12,Net Banking,Rarely
CUST00027,Diya Bose,40,Female,Face Wash,Cosmetics,26.74,Chennai,Free Size,Maroon,Summer,2.7,No,Next-Day,No,No Promo,28,Wallet,Fortnightly
CUST00028,Ananya Iyer,48,Female,Sunscreen,Cosmetics,32.87,Chandigarh,Free Size,Black,Summer,3.7,Yes,Express,Yes,WELCOME10,15,Net Banking,Annually
CUST00029,Kavya Joshi,70,Female,Eyeliner,Makeup,33.73,Surat,Free Size,Orange,Summer,1.6,No,Standard,No,No Promo,14,Debit Card,Rarely
CUST00030,Swati Kumar,49,Female,Sweaters,Clothing,49.23,Indore,XXL,Multicolor,Autumn,4.8,No,Store Pickup,No,No Promo,32,Net Banking,Annually
CUST00031,Rohit Mehta,44,Female,Face Cream,Cosmetics,46.1,Jaipur,Free Size,Purple,Autumn,2.8,No,Express,Yes,FEST15,34,Credit Card,Fortnightly
